,Congruent,Incongruent,,(con-inc),(E-moy)²
,"12,079","19,278",,"-7,199","0,7657916667"
,"16,791","18,741",,"-1,95","6,0147916667"
,"9,564","21,214",,"-11,65","-3,6852083333"
,"8,63","15,687",,"-7,057","0,9077916667"
,"14,669","22,803",,"-8,134","-0,1692083333"
,"12,238","20,878",,"-8,64","-0,6752083333"
,"14,692","24,572",,"-9,88","-1,9152083333"
,"8,987","17,394",,"-8,407","-0,4422083333"
,"9,401","20,762",,"-11,361","-3,3962083333"
,"14,48","26,282",,"-11,802","-3,8372083333"
,"22,328","24,524",,"-2,196","5,7687916667"
,"15,298","18,644",,"-3,346","4,6187916667"
,"15,073","17,51",,"-2,437","5,5277916667"
,"16,929","20,33",,"-3,401","4,5637916667"
,"18,2","35,255",,"-17,055","-9,0902083333"
,"12,13","22,158",,"-10,028","-2,0632083333"
,"18,495","25,139",,"-6,644","1,3207916667"
,"10,639","20,429",,"-9,79","-1,8252083333"
,"11,344","17,425",,"-6,081","1,8837916667"
,"12,369","34,288",,"-21,919","-13,9542083333"
,"12,944","23,894",,"-10,95","-2,9852083333"
,"14,233","17,96",,"-3,727","4,2377916667"
,"19,71","22,058",,"-2,348","5,6167916667"
,"16,004","21,157",,"-5,153","2,8117916667"
,,,,,
moyenne,"14,051125","22,0159166667",,"-7,9647916667",
mediane,"14,3565","21,0175",,,
